country code,Zip Code,provincialcode,Division 3
,2813,1,Luba
,2814,1,Tubo
,2805,1,Bucay
,2821,1,Lacub
,2812,1,Pilar
,2803,1,Tayum
,2822,1,Tineg
,2817,1,Bucloc
,2826,1,La Paz
,2810,1,Manabo
,2800,1,Bangued
,2815,1,Boliney
,2825,1,Danglas
,2801,1,Dolores
,2824,1,Lagayan
,2806,1,Pidigan
,2807,1,Langiden
,2823,1,San Juan
,2816,1,Daguioman
,2820,1,Malibcong
,2804,1,Peñarrubia
,2818,1,Sallapadan
,2809,1,San Isidro
,2902,1,Lagangilang
,2808,1,San Quintin
,2811,1,Villaviciosa
,2819,1,Licuan (Baay)
,8606,2,Tubay
,8603,2,Carmen
,8607,2,Jabonga
,8602,2,Nasipit
,8608,2,Santiago
,8609,2,Kitcharao
,8610,2,LasNieves
,8601,2,Buenavista
,8605,2,Cabadbaran
,8604,2,Magallanes
,8600,2,Butuan City
,8611,2,Remedios T. Romualdez
,8508,3,La Paz
,8507,3,Loreto
,8505,3,Trento
,8502,3,Bayugan
,8506,3,Bunawan
,8504,3,Rosario
,8503,3,Sibagat
,8509,3,Veruela
,8511,3,San Luis
,8513,3,Esperanza
,8510,3,Talacogon
,8500,3,Prosperidad
,8512,3,Santa Josefa
,8501,3,San Francisco
,5605,4,Lezo
,5601,4,Banga
,5615,4,Batan
,5608,4,Malay
,5607,4,Nabas
,5614,4,Balete
,5613,4,Ibajay
,5600,4,Kalibo
,5611,4,Makato
,5616,4,Altavas
,5602,4,Libacao
,5603,4,Madalag
,5606,4,Malinao
,5609,4,Buruanga
,5604,4,Numancia
,5612,4,Tangalan
,5610,4,New Washington
,4505,5,Oas
,4513,5,Tiwi
,4507,5,Libon
,4501,5,Daraga
,4501,5,Locsin
,4514,5,Manito
,4509,5,Bacacay
,4502,5,Camalig
,4512,5,Malinao
,4515,5,Jovellar
,4506,5,Polangui
,4510,5,Malilipot
,4516,5,Pio Duran
,4517,5,Rapu-Rapu
,4503,5,Guinobatan
,4504,5,Ligao City
,4516,5,Malacbalac
,4511,5,Tabaco City
,4500,5,Legazpi City
,4508,5,Santo Domingo
,5716,6,Dao
,5711,6,Caluya
,5708,6,Culasi
,5715,6,Hamtic
,5712,6,Pandan
,5707,6,Tibiao
,5717,6,Anini-y
,5706,6,Barbaza
,5701,6,Belison
,5705,6,Laua-an
,5709,6,Sebaste
,5713,6,Sibalom
,5704,6,Bugasong
,5710,6,Libertad
,5700,6,San Jose
,5702,6,Patnongon
,5703,6,Valderrama
,5714,6,San Remigio
,5716,6,Tobias Fornier
,3200,8,Baler
,3205,8,Dilasag
,3207,8,Dingalan
,3201,8,San Luis
,3204,8,Casiguran
,3203,8,Dipaculao
,3206,8,Dinalungan
,3202,8,Maria Aurora
,7303,9,Maluso
,7302,9,Lamitan
,7305,9,Sumisip
,7306,9,Tuburan
,7301,9,Lantawan
,7304,9,Tipo-Tipo
,7300,9,Isabela City
,7300,9,Isabela de Basilan
,2107,10,Bagac
,2104,10,Lamao
,2103,10,Limay
,2112,10,Orani
,2102,10,Orion
,2101,10,Pilar
,2113,10,Samal
,2114,10,Abucay
,2108,10,Morong
,2111,10,Hermosa
,2105,10,Mariveles
,2110,10,Dinalupihan
,2100,10,Balanga City
,2109,10,Morong (Refugee Processing Center)
,2106,10,Mariveles (Bataan Export Processing Zone)
,3902,11,Ivana
,3903,11,Uyugan
,3905,11,Itbayat
,3901,11,Mahatao
,3904,11,Sabtang
,3900,11,Gov-Gen Jose Vargas Basco
,4214,12,Tuy
,4208,12,Taal
,4201,12,Bauan
,4230,12,Ibaan
,4219,12,Balete
,4212,12,Calaca
,4222,12,Cuenca
,4221,12,Laurel
,4209,12,Lemery
,4202,12,Mabini
,4233,12,Malvar
,4228,12,Taysan
,4213,12,Balayan
,4231,12,Nasugbu
,4225,12,Rosario
,4203,12,Tingloy
,4227,12,San Jose
,4226,12,San Juan
,4210,12,San Luis
,4211,12,Agoncillo
,4205,12,Alitagtag
,4231,12,Calaruega
,4217,12,Lipa City
,4229,12,"Lobo, Laiya"
,4231,12,Punta Fuego
,4207,12,San Nicolas
,4204,12,San Pascual
,4234,12,Santo Tomas
,4224,12,Padre Garcia
,4220,12,Talisay City
,4232,12,Tanauan City
,4200,12,Batangas City
,4221,12,Diokno Highway
,4206,12,Santa Teresita
,4223,12,Mataas na Kahoy
,4218,12,Fernando Airbase
,4216,12,"Lian, Matabungkay"
,4215,12,"Calatagan, Punta Baluarte"
,2612,13,Atok
,2603,13,Tuba
,2610,13,Bakun
,2605,13,Bokod
,2604,13,Itogon
,2614,13,Sablan
,2615,13,Tublay
,2607,13,Buguias
,2606,13,Kabayan
,2609,13,Lepanto
,2613,13,Kapangan
,2611,13,Kibungan
,2608,13,Mankayan
,2600,13,Baguio City
,2603,13,Kennon Road
,2603,13,Marcos Highway
,2601,13,"La Trinidad, Pico"
,2602,13,Philippine Military Academy
,6543,14,Naval
,6547,14,Culaba
,6544,14,Almeria
,6549,14,Biliran
,6545,14,Kawayan
,6548,14,Caibiran
,6546,14,Maripipi
,6550,14,Cabucgayan
,6311,15,Anda
,6304,15,Lila
,6303,15,Loay
,6327,15,Loon
,6315,15,Ubay
,6317,15,Bilar
,6344,15,Danao
,6339,15,Dauis
,6309,15,Duero
,6308,15,Jagna
,6316,15,Loboc
,6321,15,Pilar
,6314,15,Alicia
,6318,15,Batuan
,6328,15,Calape
,6319,15,Carmen
,6330,15,Clarin
,6341,15,Cortes
,6305,15,Dimiao
,6334,15,Jetafe
,6313,15,Mabini
,6337,15,Corella
,6322,15,Dagohoy
,6340,15,Panglao
,6347,15,Sevilla
,6325,15,Talibon
,6329,15,Tubigon
,6301,15,Baclayon
,6312,15,Candijay
,6332,15,Inabanga
,6331,15,Sagbayan
,6338,15,Sikatuna
,6324,15,Trinidad
,6306,15,Valencia
,6335,15,Antequera
,6342,15,Balilihan
,6343,15,Catigbian
,6336,15,Maribojoc
,6326,15,Bien Unido
,6333,15,Buenavista
,6310,15,Guindulman
,6345,15,San Isidro
,6323,15,San Miguel
,6302,15,Alburquerque
,6320,15,Sierra Bullones
,6300,15,Tagbilaran City
,6307,15,Garcia Hernandez
,6346,15,Pres. Carlos P. Garcia (Dao)
,8720,16,Kibawe
,8706,16,Libona
,8710,16,Musuan
,8715,16,Quezon
,8707,16,Baungon
,8721,16,Damulog
,8714,16,Maramag
,8701,16,Sumilao
,8708,16,Talakag
,8716,16,Kitaotao
,8722,16,Lantapan
,8704,16,Malitbog
,8705,16,Phillips
,8719,16,Dangcagan
